externalId,reviewText,productName,productCategory,consumerName,language,rating,verifiedPurchase
rev_0035,"Quality is consistent, totally worth the price.",GlowLeaf Herbal Shampoo,beauty,Vihaan,en,5,true
rev_0036,"Bahut accha nikla, kaafi useful in daily use. overall theek hai yaar",GlowLeaf Herbal Shampoo,beauty,Neha,hi,4,true
rev_0037,"Thik tha, expected thoda better but usable.",GlowLeaf Herbal Shampoo,beauty,Pooja,hi,3,true
rev_0038,"Pretty good overall, happy with durability.",GlowLeaf Herbal Shampoo,beauty,Manoj,hi,5,false
rev_0039,"Pretty good overall, happy with durability.",VoltX Earbuds,electronics,Priya,en,5,true
rev_0040,"The product is okay, packaging was fine.",GlowLeaf Herbal Shampoo,beauty,Kabir,ml,3,true
rev_0041,"Quality is consistent, totally worth the price.",CrunchyBite Protein Bars,food,Varun,en,4,false
rev_0042,"Bahut accha nikla, kaafi useful in daily use.",VoltX Earbuds,electronics,Ritu,kn,4,true
rev_0043,"Great taste and good quality, will buy again.",CrunchyBite Protein Bars,food,Nisha,te,4,true
rev_0044,"Great taste and good quality, will buy again.",VoltX Earbuds,electronics,Dev,en,4,false
rev_0045,"Great taste and good quality, will buy again. kaafi accha but depends on batch",VoltX Earbuds,electronics,Rahul,hi,5,true
rev_0046,"Pack kharab tha, tape loose thi, not hygienic at all.",CrunchyBite Protein Bars,food,Ishita,ta,2,true
rev_0047,"Battery drains fast, performance dips after 2 hours. kaafi accha but depends on batch",CrunchyBite Protein Bars,food,Ananya,hi,3,true
rev_0048,"Nice experience, customer support was helpful.",GlowLeaf Herbal Shampoo,beauty,Sanjay,hi,4,true
rev_0049,"Average experience, not bad not great. overall theek hai yaar",CrunchyBite Protein Bars,food,Rahul,ml,3,true
rev_0050,"Delivery was quick, product feels premium.",GlowLeaf Herbal Shampoo,beauty,Neha,hi,4,true
rev_0051,"Delivery was quick, product feels premium.",CrunchyBite Protein Bars,food,Nisha,en,5,true
rev_0052,"Great taste and good quality, will buy again.",VoltX Earbuds,electronics,Aarav,hi,5,true
rev_0053,"Delivery was quick, product feels premium.",GlowLeaf Herbal Shampoo,beauty,Rahul,en,5,true
rev_0054,"Quality is consistent, totally worth the price.",GlowLeaf Herbal Shampoo,beauty,Sanjay,hi,4,true
rev_0055,"Mast product hai, value for money 👍 thoda mixed feel hai 😅",VoltX Earbuds,electronics,Priya,en,4,true
rev_0056,"Mast product hai, value for money 👍 overall theek hai yaar",VoltX Earbuds,electronics,Aditi,hi,4,true
rev_0057,Support response was delayed and not very clear.,CrunchyBite Protein Bars,food,Kabir,hi,3,false
rev_0058,"Taste is too sweet for me, texture is odd.",CrunchyBite Protein Bars,food,Arjun,te,2,true
rev_0059,"Average experience, not bad not great.",VoltX Earbuds,electronics,Neha,en,3,true
rev_0060,"Quality is consistent, totally worth the price.",VoltX Earbuds,electronics,Sanjay,en,4,true
rev_0061,"Pretty good overall, happy with durability.",CrunchyBite Protein Bars,food,Arjun,hi,5,false
rev_0062,"Bahut accha nikla, kaafi useful in daily use.",VoltX Earbuds,electronics,Rahul,hi,5,true
rev_0063,"Average experience, not bad not great.",GlowLeaf Herbal Shampoo,beauty,Pooja,en,3,true
rev_0064,"Pretty good overall, happy with durability.",VoltX Earbuds,electronics,Kabir,en,4,true
rev_0065,"Great taste and good quality, will buy again.",CrunchyBite Protein Bars,food,Nisha,en,5,true
rev_0066,"Thik tha, expected thoda better but usable.",GlowLeaf Herbal Shampoo,beauty,Varun,hi,3,true
rev_0067,"The product is okay, packaging was fine.",CrunchyBite Protein Bars,food,Pooja,en,3,true
rev_0068,"Bahut accha nikla, kaafi useful in daily use. overall theek hai yaar",VoltX Earbuds,electronics,Neha,hi,4,false
rev_0069,"Taste is too sweet for me, texture is odd.",GlowLeaf Herbal Shampoo,beauty,Priya,en,1,true
rev_0070,"Nice experience, customer support was helpful. kaafi accha but depends on batch",CrunchyBite Protein Bars,food,Priya,en,5,true
rev_0071,"Thik tha, expected thoda better but usable.",CrunchyBite Protein Bars,food,Ishita,hi,3,true
rev_0072,"The product is okay, packaging was fine.",GlowLeaf Herbal Shampoo,beauty,Yash,en,3,true
rev_0073,"Delivery was quick, product feels premium.",GlowLeaf Herbal Shampoo,beauty,Priya,hi,4,true
rev_0074,"Nice experience, customer support was helpful.",VoltX Earbuds,electronics,Aditi,hi,5,true
rev_0075,"Delivery was quick, product feels premium.",GlowLeaf Herbal Shampoo,beauty,Arjun,te,5,true
rev_0076,"Taste is too sweet for me, texture is odd.",GlowLeaf Herbal Shampoo,beauty,Nisha,en,3,true
rev_0077,"Mast product hai, value for money 👍",VoltX Earbuds,electronics,Arjun,hi,5,true
rev_0078,"Works as intended, nothing standout.",GlowLeaf Herbal Shampoo,beauty,Dev,en,3,true
rev_0079,"Pretty good overall, happy with durability.",VoltX Earbuds,electronics,Priya,hi,5,true
rev_0080,"Delivery was quick, product feels premium.",GlowLeaf Herbal Shampoo,beauty,Kabir,en,5,true
rev_0081,"Fragrance is too strong, gave mild irritation.",GlowLeaf Herbal Shampoo,beauty,Kabir,en,2,true
rev_0082,"Nice experience, customer support was helpful.",GlowLeaf Herbal Shampoo,beauty,Dev,kn,4,true
rev_0083,"Average experience, not bad not great.",VoltX Earbuds,electronics,Ananya,te,3,true
rev_0084,"Works as intended, nothing standout.",VoltX Earbuds,electronics,Sana,en,3,false
rev_0085,"Mast product hai, value for money 👍",CrunchyBite Protein Bars,food,Ananya,hi,5,false
rev_0086,"Mast product hai, value for money 👍 kaafi accha but depends on batch",VoltX Earbuds,electronics,Ritu,en,5,false
rev_0087,"Fragrance is too strong, gave mild irritation.",CrunchyBite Protein Bars,food,Aditi,ta,3,true
rev_0088,"Average experience, not bad not great. overall theek hai yaar",VoltX Earbuds,electronics,Ananya,en,3,true
rev_0089,"Bahut accha nikla, kaafi useful in daily use.",CrunchyBite Protein Bars,food,Ananya,hi,4,true
rev_0090,"Delivery was quick, product feels premium.",CrunchyBite Protein Bars,food,Ritu,ta,4,true
rev_0091,"Seal was open on arrival, packaging complaint from my side. overall theek hai yaar",CrunchyBite Protein Bars,food,Sana,hi,2,false
rev_0092,"Thik tha, expected thoda better but usable.",VoltX Earbuds,electronics,Kiran,ta,3,false
rev_0093,Support response was delayed and not very clear.,GlowLeaf Herbal Shampoo,beauty,Kiran,en,2,true
rev_0094,"Delivery was quick, product feels premium.",VoltX Earbuds,electronics,Aarav,en,5,true
rev_0095,"Quality is consistent, totally worth the price.",VoltX Earbuds,electronics,Varun,hi,4,true
rev_0096,"The product is okay, packaging was fine.",CrunchyBite Protein Bars,food,Manoj,en,3,true
rev_0097,"Bahut accha nikla, kaafi useful in daily use.",CrunchyBite Protein Bars,food,Kiran,en,5,true
rev_0098,"Pretty good overall, happy with durability.",CrunchyBite Protein Bars,food,Sana,en,4,true
rev_0099,"Works as intended, nothing standout. overall theek hai yaar",GlowLeaf Herbal Shampoo,beauty,Manoj,hi,3,false
rev_0100,"Bahut accha nikla, kaafi useful in daily use.",GlowLeaf Herbal Shampoo,beauty,Manoj,hi,5,true
rev_0101,"Fragrance is too strong, gave mild irritation.",GlowLeaf Herbal Shampoo,beauty,Ananya,hi,3,false
rev_0102,"Delivery was quick, product feels premium.",VoltX Earbuds,electronics,Aditi,ta,5,true
rev_0103,"Bahut accha nikla, kaafi useful in daily use.",GlowLeaf Herbal Shampoo,beauty,Dev,te,5,false
rev_0104,"Quality is consistent, totally worth the price. thoda mixed feel hai 😅",CrunchyBite Protein Bars,food,Kiran,hi,4,true
rev_0105,"Bahut accha nikla, kaafi useful in daily use.",CrunchyBite Protein Bars,food,Neha,hi,4,true
rev_0106,"The product is okay, packaging was fine.",VoltX Earbuds,electronics,Nisha,hi,3,true
rev_0107,"The product is okay, packaging was fine.",GlowLeaf Herbal Shampoo,beauty,Sneha,kn,3,false
rev_0108,"Delivery was quick, product feels premium.",CrunchyBite Protein Bars,food,Sanjay,en,5,true
rev_0109,"Pretty good overall, happy with durability. price zyada hai but chalega",CrunchyBite Protein Bars,food,Arjun,en,5,false
rev_0110,"Works as intended, nothing standout.",GlowLeaf Herbal Shampoo,beauty,Diya,en,3,false
rev_0111,"Quality is consistent, totally worth the price.",VoltX Earbuds,electronics,Rohan,hi,5,true
rev_0112,"Works as intended, nothing standout.",CrunchyBite Protein Bars,food,Aarav,ta,3,true
rev_0113,"Delivery was quick, product feels premium.",VoltX Earbuds,electronics,Ritu,hi,4,true
rev_0114,"Quality is consistent, totally worth the price.",VoltX Earbuds,electronics,Priya,en,4,true
rev_0115,"Bahut accha nikla, kaafi useful in daily use. overall theek hai yaar",CrunchyBite Protein Bars,food,Manoj,hi,4,true
rev_0116,"Quality is consistent, totally worth the price.",CrunchyBite Protein Bars,food,Varun,hi,5,false
rev_0117,"Mast product hai, value for money 👍",CrunchyBite Protein Bars,food,Vihaan,hi,4,true
rev_0118,"Pretty good overall, happy with durability.",VoltX Earbuds,electronics,Manoj,kn,5,true
rev_0119,"Great taste and good quality, will buy again.",VoltX Earbuds,electronics,Arjun,hi,4,true
rev_0120,"Nice experience, customer support was helpful.",CrunchyBite Protein Bars,food,Sanjay,en,5,true
rev_0121,"Great taste and good quality, will buy again.",CrunchyBite Protein Bars,food,Manoj,hi,5,true
rev_0122,"The product is okay, packaging was fine.",VoltX Earbuds,electronics,Neha,en,3,true
rev_0123,"Quality is consistent, totally worth the price. price zyada hai but chalega",CrunchyBite Protein Bars,food,Rohan,en,4,false
rev_0124,"Works as intended, nothing standout.",CrunchyBite Protein Bars,food,Meera,en,3,true
rev_0125,"Thik tha, expected thoda better but usable.",CrunchyBite Protein Bars,food,Ananya,hi,3,true
rev_0126,"Great taste and good quality, will buy again.",CrunchyBite Protein Bars,food,Ritu,hi,5,true
rev_0127,"Mast product hai, value for money 👍 price zyada hai but chalega",GlowLeaf Herbal Shampoo,beauty,Rahul,en,5,true
rev_0128,"Quality is consistent, totally worth the price. thoda mixed feel hai 😅",GlowLeaf Herbal Shampoo,beauty,Dev,ml,5,true
rev_0129,"Nice experience, customer support was helpful. kaafi accha but depends on batch",CrunchyBite Protein Bars,food,Ritu,en,5,true
rev_0130,"Pretty good overall, happy with durability.",CrunchyBite Protein Bars,food,Aditi,en,5,true
rev_0131,"Quality is consistent, totally worth the price.",CrunchyBite Protein Bars,food,Aditi,en,5,true
rev_0132,"Works as intended, nothing standout.",VoltX Earbuds,electronics,Rohan,te,3,false
rev_0133,"Nice experience, customer support was helpful.",VoltX Earbuds,electronics,Aarav,kn,4,true
rev_0134,"Quality is consistent, totally worth the price.",CrunchyBite Protein Bars,food,Priya,hi,5,true
rev_0135,"Delivery was quick, product feels premium.",CrunchyBite Protein Bars,food,Diya,en,5,true
rev_0136,Ye kya packaging hai? pura dabba foota hua aaya 😒,CrunchyBite Protein Bars,food,Neha,kn,2,true
rev_0137,"Thik tha, expected thoda better but usable. overall theek hai yaar",CrunchyBite Protein Bars,food,Arjun,en,3,true
rev_0138,"Thik tha, expected thoda better but usable.",CrunchyBite Protein Bars,food,Pooja,en,3,true
rev_0139,"Works as intended, nothing standout.",GlowLeaf Herbal Shampoo,beauty,Ritu,kn,3,true
rev_0140,"Works as intended, nothing standout. thoda mixed feel hai 😅",CrunchyBite Protein Bars,food,Meera,hi,3,true
rev_0141,"Works as intended, nothing standout.",CrunchyBite Protein Bars,food,Nisha,hi,3,true
rev_0142,"Mast product hai, value for money 👍",VoltX Earbuds,electronics,Ritu,en,5,true
rev_0143,"Quality is consistent, totally worth the price.",VoltX Earbuds,electronics,Nisha,en,5,true
rev_0144,"Delivery was quick, product feels premium.",GlowLeaf Herbal Shampoo,beauty,Ananya,hi,4,true
rev_0145,"Mast product hai, value for money 👍",CrunchyBite Protein Bars,food,Aditi,hi,5,true
rev_0146,"Pretty good overall, happy with durability.",VoltX Earbuds,electronics,Ananya,en,4,true
rev_0147,"The product is okay, packaging was fine.",CrunchyBite Protein Bars,food,Ishita,kn,3,true
rev_0148,"Bahut accha nikla, kaafi useful in daily use.",CrunchyBite Protein Bars,food,Sanjay,en,5,true
rev_0149,"Nice experience, customer support was helpful.",VoltX Earbuds,electronics,Diya,hi,5,true
rev_0150,"Mast product hai, value for money 👍",VoltX Earbuds,electronics,Diya,hi,5,true
rev_0151,"Great taste and good quality, will buy again.",CrunchyBite Protein Bars,food,Diya,en,4,true
rev_0152,"The product is okay, packaging was fine.",VoltX Earbuds,electronics,Pooja,ml,3,true
rev_0153,"Average experience, not bad not great.",CrunchyBite Protein Bars,food,Meera,en,3,true
rev_0154,"Bahut accha nikla, kaafi useful in daily use.",CrunchyBite Protein Bars,food,Yash,hi,4,true
rev_0155,"Delivery was quick, product feels premium.",CrunchyBite Protein Bars,food,Varun,en,5,false
rev_0156,"Delivery was quick, product feels premium.",VoltX Earbuds,electronics,Arjun,hi,4,true
rev_0157,"Mast product hai, value for money 👍",CrunchyBite Protein Bars,food,Pooja,hi,5,true
rev_0158,"Nice experience, customer support was helpful.",GlowLeaf Herbal Shampoo,beauty,Diya,en,5,false
rev_0159,"Delivery was quick, product feels premium. price zyada hai but chalega",CrunchyBite Protein Bars,food,Arjun,kn,5,true
rev_0160,"Delivery was quick, product feels premium.",VoltX Earbuds,electronics,Sana,ml,5,true
rev_0161,Support response was delayed and not very clear.,CrunchyBite Protein Bars,food,Kiran,hi,1,true
rev_0162,"Mast product hai, value for money 👍",VoltX Earbuds,electronics,Kiran,en,4,false
rev_0163,"Pretty good overall, happy with durability.",GlowLeaf Herbal Shampoo,beauty,Aditi,te,4,false
rev_0164,"Mast product hai, value for money 👍",VoltX Earbuds,electronics,Kiran,hi,5,true
rev_0165,"Works as intended, nothing standout. thoda mixed feel hai 😅",CrunchyBite Protein Bars,food,Arjun,ta,3,true
rev_0166,"Thik tha, expected thoda better but usable.",GlowLeaf Herbal Shampoo,beauty,Sanjay,en,3,false
rev_0167,"The product is okay, packaging was fine.",GlowLeaf Herbal Shampoo,beauty,Yash,hi,3,true
rev_0168,"Battery drains fast, performance dips after 2 hours.",VoltX Earbuds,electronics,Yash,hi,3,true
rev_0169,"Pretty good overall, happy with durability.",CrunchyBite Protein Bars,food,Kiran,kn,4,true
rev_0170,"Thik tha, expected thoda better but usable.",GlowLeaf Herbal Shampoo,beauty,Varun,hi,3,true
rev_0171,"Bad packaging again, wrapper torn and product exposed. Batch issue lag raha hai.",CrunchyBite Protein Bars,food,Manoj,ta,2,true
rev_0172,Ye kya packaging hai? pura dabba foota hua aaya 😒 Batch issue lag raha hai.,CrunchyBite Protein Bars,food,Sanjay,en,2,false
rev_0173,"Bad packaging again, wrapper torn and product exposed. Batch issue lag raha hai.",CrunchyBite Protein Bars,food,Vihaan,hi,2,true
rev_0174,Ye kya packaging hai? pura dabba foota hua aaya 😒 box phata hua tha,CrunchyBite Protein Bars,food,Arjun,en,2,true
rev_0175,"Delivery ok but packaging quality is poor, corners bent. Batch issue lag raha hai.",CrunchyBite Protein Bars,food,Nisha,en,2,true
rev_0176,"Delivery ok but packaging quality is poor, corners bent. Batch issue lag raha hai.",CrunchyBite Protein Bars,food,Aarav,ta,2,true
rev_0177,"Pack kharab tha, tape loose thi, not hygienic at all. Same issue in 2 orders now.",CrunchyBite Protein Bars,food,Varun,ta,1,true
rev_0178,Ye kya packaging hai? pura dabba foota hua aaya 😒,CrunchyBite Protein Bars,food,Vihaan,ta,2,true
rev_0179,"Pack kharab tha, tape loose thi, not hygienic at all.",CrunchyBite Protein Bars,food,Nisha,en,1,true
rev_0180,"Seal was open on arrival, packaging complaint from my side.",CrunchyBite Protein Bars,food,Arjun,ta,1,true
rev_0181,"Bad packaging again, wrapper torn and product exposed. Same issue in 2 orders now. box phata hua tha",CrunchyBite Protein Bars,food,Pooja,kn,2,false
rev_0182,"Bad packaging again, wrapper torn and product exposed.",CrunchyBite Protein Bars,food,Nisha,kn,2,true
rev_0183,"Delivery ok but packaging quality is poor, corners bent. Same issue in 2 orders now.",CrunchyBite Protein Bars,food,Yash,kn,2,true
rev_0184,"Seal was open on arrival, packaging complaint from my side. Batch issue lag raha hai.",CrunchyBite Protein Bars,food,Sanjay,en,2,true
rev_0185,"Pack kharab tha, tape loose thi, not hygienic at all. box phata hua tha",CrunchyBite Protein Bars,food,Rahul,hi,2,true
rev_0186,"Seal was open on arrival, packaging complaint from my side.",CrunchyBite Protein Bars,food,Rahul,hi,1,true
rev_0187,"Delivery ok but packaging quality is poor, corners bent. Batch issue lag raha hai.",CrunchyBite Protein Bars,food,Ritu,kn,1,true
rev_0188,Ye kya packaging hai? pura dabba foota hua aaya 😒,CrunchyBite Protein Bars,food,Manoj,kn,1,true
rev_0189,"Bad packaging again, wrapper torn and product exposed.",CrunchyBite Protein Bars,food,Neha,ta,1,true
rev_0190,"Seal was open on arrival, packaging complaint from my side.",CrunchyBite Protein Bars,food,Nisha,en,1,false
rev_0191,"Pack kharab tha, tape loose thi, not hygienic at all. Batch issue lag raha hai.",CrunchyBite Protein Bars,food,Pooja,kn,1,false
rev_0192,"Bad packaging again, wrapper torn and product exposed.",CrunchyBite Protein Bars,food,Aditi,en,1,true
rev_0193,"Seal was open on arrival, packaging complaint from my side. Same issue in 2 orders now.",CrunchyBite Protein Bars,food,Priya,hi,2,true
rev_0194,"Delivery ok but packaging quality is poor, corners bent. Same issue in 2 orders now. box phata hua tha",CrunchyBite Protein Bars,food,Arjun,en,1,true
rev_0195,"Outer box soggy and inside packets dented, unacceptable packaging.",CrunchyBite Protein Bars,food,Manoj,hi,1,true
rev_0196,"Seal was open on arrival, packaging complaint from my side.",CrunchyBite Protein Bars,food,Vihaan,kn,1,true
rev_0197,"Bad packaging again, wrapper torn and product exposed. delivery fast but packing worst",CrunchyBite Protein Bars,food,Yash,en,2,true
rev_0198,"Delivery ok but packaging quality is poor, corners bent. Batch issue lag raha hai.",CrunchyBite Protein Bars,food,Aarav,hi,1,false
rev_0199,"Bad packaging again, wrapper torn and product exposed. Batch issue lag raha hai.",CrunchyBite Protein Bars,food,Diya,kn,1,true
rev_0200,"Outer box soggy and inside packets dented, unacceptable packaging. box phata hua tha",CrunchyBite Protein Bars,food,Varun,en,1,true
rev_0201,"Delivery ok but packaging quality is poor, corners bent. Same issue in 2 orders now.",CrunchyBite Protein Bars,food,Aarav,hi,1,false
rev_0202,Ye kya packaging hai? pura dabba foota hua aaya 😒 Batch issue lag raha hai.,CrunchyBite Protein Bars,food,Kabir,ta,2,true
rev_0203,"Delivery ok but packaging quality is poor, corners bent.",CrunchyBite Protein Bars,food,Kabir,kn,1,false
rev_0204,"Pack kharab tha, tape loose thi, not hygienic at all. Batch issue lag raha hai.",CrunchyBite Protein Bars,food,Ishita,en,1,true
rev_0205,"Seal was open on arrival, packaging complaint from my side.",CrunchyBite Protein Bars,food,Pooja,ta,1,true
rev_0206,"Pack kharab tha, tape loose thi, not hygienic at all. Same issue in 2 orders now.",CrunchyBite Protein Bars,food,Sana,ta,1,true
rev_0207,Ye kya packaging hai? pura dabba foota hua aaya 😒,CrunchyBite Protein Bars,food,Kabir,en,2,true
rev_0208,Ye kya packaging hai? pura dabba foota hua aaya 😒 delivery fast but packing worst,CrunchyBite Protein Bars,food,Manoj,en,2,true
rev_0209,"Seal was open on arrival, packaging complaint from my side. Please fix packaging quality asap.",CrunchyBite Protein Bars,food,Pooja,hi,2,true
rev_0210,Ye kya packaging hai? pura dabba foota hua aaya 😒,CrunchyBite Protein Bars,food,Vihaan,hi,1,true
rev_0211,"Packaging was damaged, box crushed and seal broken.",CrunchyBite Protein Bars,food,Varun,en,1,true
rev_0212,Ye kya packaging hai? pura dabba foota hua aaya 😒,CrunchyBite Protein Bars,food,Diya,ta,1,false
rev_0213,"Delivery ok but packaging quality is poor, corners bent.",CrunchyBite Protein Bars,food,Ananya,en,2,true
rev_0214,"Packaging was damaged, box crushed and seal broken. Please fix packaging quality asap.",CrunchyBite Protein Bars,food,Arjun,hi,2,false
rev_0215,"Delivery ok but packaging quality is poor, corners bent. Batch issue lag raha hai.",CrunchyBite Protein Bars,food,Ritu,hi,1,true
rev_0216,"Packaging was damaged, box crushed and seal broken. Batch issue lag raha hai. emoji review 😕📦",CrunchyBite Protein Bars,food,Arjun,hi,2,true
rev_0217,"Bad packaging again, wrapper torn and product exposed.",CrunchyBite Protein Bars,food,Dev,hi,2,true
rev_0218,"Delivery ok but packaging quality is poor, corners bent. Batch issue lag raha hai.",CrunchyBite Protein Bars,food,Varun,ta,1,true
rev_0219,"Outer box soggy and inside packets dented, unacceptable packaging. Same issue in 2 orders now.",CrunchyBite Protein Bars,food,Varun,ta,1,true
rev_0220,"Seal was open on arrival, packaging complaint from my side.",CrunchyBite Protein Bars,food,Ananya,ta,2,false
rev_0221,"Delivery ok but packaging quality is poor, corners bent.",CrunchyBite Protein Bars,food,Aditi,ta,1,true
rev_0222,"Pack kharab tha, tape loose thi, not hygienic at all. Please fix packaging quality asap.",CrunchyBite Protein Bars,food,Aarav,hi,2,true
rev_0223,"Packaging was damaged, box crushed and seal broken.",CrunchyBite Protein Bars,food,Ishita,en,2,true
rev_0224,"Delivery ok but packaging quality is poor, corners bent.",CrunchyBite Protein Bars,food,Diya,ta,2,true
rev_0225,"Delivery ok but packaging quality is poor, corners bent.",CrunchyBite Protein Bars,food,Sneha,hi,2,true
rev_0226,"Seal was open on arrival, packaging complaint from my side. andar ka packet bhi pressed",CrunchyBite Protein Bars,food,Diya,hi,1,false
rev_0227,Ye kya packaging hai? pura dabba foota hua aaya 😒 Same issue in 2 orders now.,CrunchyBite Protein Bars,food,Dev,hi,2,true
rev_0228,Ye kya packaging hai? pura dabba foota hua aaya 😒 Please fix packaging quality asap.,CrunchyBite Protein Bars,food,Kabir,en,1,true
rev_0229,"Bad packaging again, wrapper torn and product exposed. box phata hua tha",CrunchyBite Protein Bars,food,Yash,en,1,true
rev_0230,"Bad packaging again, wrapper torn and product exposed. Same issue in 2 orders now.",CrunchyBite Protein Bars,food,Kabir,ta,2,true
rev_0231,"Pack kharab tha, tape loose thi, not hygienic at all. Same issue in 2 orders now.",CrunchyBite Protein Bars,food,Nisha,hi,1,true
rev_0232,"Outer box soggy and inside packets dented, unacceptable packaging. Please fix packaging quality asap.",CrunchyBite Protein Bars,food,Arjun,kn,2,true
rev_0233,"The product is okay, packaging was fine.",VoltX Earbuds,electronics,Manoj,ta,5,true
rev_0234,"Bahut accha nikla, kaafi useful in daily use.",GlowLeaf Herbal Shampoo,beauty,Ritu,en,5,true
rev_0235,"Pretty good overall, happy with durability.",VoltX Earbuds,electronics,Ritu,en,5,true
rev_0236,"Bahut accha nikla, kaafi useful in daily use.",VoltX Earbuds,electronics,Aditi,en,4,true
rev_0237,"Average experience, not bad not great.",CrunchyBite Protein Bars,food,Aarav,hi,4,true
rev_0238,"Taste is too sweet for me, texture is odd.",VoltX Earbuds,electronics,Arjun,en,5,true
rev_0239,"Bahut accha nikla, kaafi useful in daily use. andar ka packet bhi pressed",VoltX Earbuds,electronics,Sanjay,ta,4,true
rev_0240,"Thik tha, expected thoda better but usable.",GlowLeaf Herbal Shampoo,beauty,Dev,hi,3,true
rev_0241,"Thik tha, expected thoda better but usable.",CrunchyBite Protein Bars,food,Ritu,en,5,false
rev_0242,"Average experience, not bad not great.",VoltX Earbuds,electronics,Sana,kn,5,true
rev_0243,Support response was delayed and not very clear.,VoltX Earbuds,electronics,Vihaan,en,5,false
rev_0244,"Bahut accha nikla, kaafi useful in daily use.",VoltX Earbuds,electronics,Varun,en,2,false
rev_0245,"Mast product hai, value for money 👍",GlowLeaf Herbal Shampoo,beauty,Ananya,en,2,false
rev_0246,"Quality is consistent, totally worth the price. andar ka packet bhi pressed",CrunchyBite Protein Bars,food,Meera,hi,2,true
rev_0247,"Mast product hai, value for money 👍",GlowLeaf Herbal Shampoo,beauty,Dev,kn,3,true
rev_0248,"Mast product hai, value for money 👍 box phata hua tha",CrunchyBite Protein Bars,food,Manoj,ta,2,true
rev_0249,Support response was delayed and not very clear.,GlowLeaf Herbal Shampoo,beauty,Dev,kn,2,true
